user_id,Attrition
442,0.13976541
1091,0.09642373
981,0.15598260
785,0.13739853
1332,0.86971071
501,0.13754930
1058,0.32867530
1253,0.13810238
751,0.10237429
122,0.30365368
268,0.11125903
940,0.17698610
1125,0.11280971
540,0.83819937
1034,0.12011764
432,0.09593917
794,0.10911435
666,0.12642806
942,0.14146530
1114,0.15172614
853,0.73730975
1330,0.12507432
692,0.09863191
548,0.10291964
54,0.41803311
319,0.42104739
1147,0.10794367
1235,0.10235025
1436,0.83395375
520,0.10409059
983,0.10430772
1347,0.12486820
465,0.20249094
966,0.17967107
31,0.12223602
420,0.10297675
1462,0.19051214
1408,0.10939098
89,0.10323469
298,0.10639014
875,0.13310392
1385,0.11374584
1430,0.13285374
223,0.13751784
1412,0.11856127
1375,0.72048079
4,0.17557789
1174,0.09859496
892,0.92721136
34,0.48519853
1310,0.18189452
182,0.75801793
467,0.16234898
52,0.12711134
1032,0.89716316
142,0.12710879
1440,0.10935735
528,0.18843641
629,0.12175631
1051,0.21294251
1269,0.10716971
993,0.16081682
526,0.11952679
278,0.11667975
887,0.25164252
1275,0.11648432
667,0.39993048
792,0.10550919
148,0.11928605
1039,0.14737640
1414,0.13033696
474,0.23394260
1341,0.10946087
1158,0.11750721
393,0.11690795
965,0.12765600
1397,0.12053884
743,0.12276788
980,0.26080337
1410,0.10864270
916,0.10385171
1300,0.10923758
642,0.14755696
1064,0.11546003
1318,0.11378343
1247,0.10612146
187,0.12241108
1023,0.14035781
1183,0.12390947
1073,0.13261718
1311,0.64494380
9,0.10167662
1019,0.17620423
1180,0.35176204
1405,0.10829882
1120,0.13249193
483,0.18392077
310,0.67315762
722,0.12751580
5,0.10828266
482,0.50548395
204,0.42229753
1086,0.67666875
376,0.09778725
740,0.13443285
299,0.09923258
1218,0.11211024
546,0.39602931
1434,0.15313634
1400,0.16552582
302,0.12183123
1096,0.29618286
360,0.09679794
1131,0.15125685
191,0.12285155
315,0.10659548
211,0.09658286
215,0.15770449
279,0.10479787
1179,0.09385277
141,0.11115888
1227,0.09776741
641,0.10530792
14,0.93869035
82,0.19149141
1301,0.13381930
787,0.09676519
583,0.12868542
333,0.13117498
610,0.10032045
390,0.10406435
1083,0.36806733
2,0.81601124
554,0.42119031
85,0.13807787
995,0.23833570
107,0.51710996
930,0.14993137
1306,0.21097031
1308,0.13270224
489,0.10511771
361,0.16163678
1090,0.14071436
80,0.10886926
152,0.17192461
1452,0.11110134
1093,0.10317371
231,0.09903982
693,0.11712905
96,0.11814199
224,0.10326434
948,0.15141626
1015,0.10905634
913,0.17406510
445,0.12379123
1,0.10493947
425,0.13432936
159,0.11495241
1210,0.12047685
227,0.10348763
838,0.26654111
1416,0.11353911
161,0.27151995
656,0.85531699
308,0.11915600
253,0.18645870
1084,0.39355136
113,0.10195494
1292,0.10144756
898,0.10042974
295,0.11774610
608,0.10918514
175,0.16178685
970,0.13782009
45,0.10758015
487,0.15771894
1358,0.10502549
55,0.21635690
657,0.20672041
1126,0.13826742
254,0.09573293
491,0.09941917
867,0.09679144
1396,0.86736472
587,0.10303306
863,0.10492836
536,0.61492925
619,0.11127396
192,0.72409535
1411,0.45089444
1460,0.31539578
1273,0.82895415
1425,0.15011835
574,0.09470788
108,0.10615135
651,0.10845627
567,0.09710536
728,0.10225190
842,0.54274022
426,0.11572101
260,0.26602055
580,0.12476408
1021,0.69922855
1173,0.10596459
572,0.16787758
679,0.11426694
1349,0.55728347
233,0.10371596
303,0.12904846
506,0.09617841
364,0.12411949
1100,0.12059724
27,0.09831995
1056,0.12035756
317,0.13751907
471,0.09810068
907,0.12462544
202,0.18093088
1129,0.11426481
1069,0.34349571
1263,0.15415432
381,0.27579935
1137,0.89517058
914,0.14956235
634,0.15449015
184,0.09903802
431,0.10386057
1413,0.30144992
1438,0.64202929
1361,0.11708900
326,0.10146627
19,0.25025181
726,0.10544491
330,0.09779537
353,0.10720235
1074,0.38520302
1360,0.26223995
412,0.09475397
1149,0.12386014
649,0.10462188
1279,0.21115220
638,0.21391212
18,0.13485550
500,0.12469006
1099,0.16030866
1075,0.10211682
53,0.11362784
632,0.52569744
874,0.11648183
342,0.11848340
47,0.45794142
459,0.18995781
748,0.48449299
609,0.11281316
989,0.33841604
1038,0.12976420
473,0.11692989
711,0.89355185
717,0.32657982
140,0.76711436
1123,0.15276849
39,0.12128114
1368,0.25792838
1026,0.11415766
322,0.11605030
742,0.21120770
935,0.10346048
479,0.37215069
1236,0.23644269
1079,0.09926803
461,0.12265525
58,0.09581016
241,0.10051076
1103,0.10769069
783,0.09955440
1399,0.11739508
56,0.12818449
665,0.26976447
575,0.14311403
505,0.41504257
443,0.37542647
1283,0.09978448
516,0.29290758
29,0.12896454
270,0.17735515
924,0.17639827
1288,0.09385225
985,0.13636550
1327,0.11974478
1439,0.12480014
481,0.16271410
124,0.85126713
198,0.09762963
1229,0.11710369
